pool	jp	ko
skill	タイダルウェイブ･改	타이달 웨이브·개
skill	霧のブレス	안개 브레스
skill	モクモク	뭉게뭉게
skill	アクアブレス	아쿠아 브레스
skill	呪縛の冷気	주박의 냉기
skill	呪縛の冷気･改	주박의 냉기·개
skill	アクアブレス･改	아쿠아 브레스·개
skill	雑魚ちらし	잔챙이 쫓기
skill	のみこむ	삼키기
skill	バブルブロウ	버블 블로
skill	メイルシュトロム	메일스트롬
skill	バブルブロウ･改	버블 블로·개
skill	のみこむ･改	삼키기·개
skill	シャイニングスター	샤이닝 스타
skill	クイックスタンプ	퀵 스탬프
skill	ルビーの光	루비의 빛
skill	ホーリーガード	홀리 가드
skill	聖なる歌声	성스러운 노래
skill	ルビーの光･改	루비의 빛·개
skill	感電	감전
skill	雷雲	뇌운
skill	裁きの雷	심판의 번개
skill	電磁場	전자기장
skill	裁きの雷･改	심판의 번개·개
skill	電磁場･改	전자기장·개
skill	メガホン	메가폰
skill	突撃ラッパ	돌격 나팔
skill	キャットレイン	캣 레인
skill	マーベラスチアー	마블러스 치어
skill	マーベラスチアー･改	마블러스 치어·개
skill	突撃ラッパ･改	돌격 나팔·개
skill	こぶし	주먹
skill	タックル	태클
skill	ビーム	빔
skill	兜割り	투구 쪼개기
skill	ビーム･改	빔·개
skill	兜割り･改	투구 쪼개기·개
skill	斬鉄剣	참철검
skill	グングニルの槍	궁니르의 창
skill	スレイプニル	슬레이프니르
skill	暗黒剣	암흑검
skill	斬鉄剣･改	참철검·개
skill	グングニルの槍･改	궁니르의 창·개
skill	奇襲	기습
skill	メガフレア	메가 플레어
skill	テラフレア	테라 플레어
skill	インパルス	임펄스
skill	メガフレア･改	메가 플레어·개
skill	テラフレア･改	테라 플레어·개
skill	毒霧	독안개
skill	影縫い	그림자 꿰매기
skill	包丁	식칼
skill	みんなの恨み	모두의 원한
skill	みんなの恨み･改	모두의 원한·개
skill	たたく	때리기
skill	あばれる	날뛰기
skill	おおごえ	큰소리
skill	メテオ	메테오
skill	たたく･改	때리기·개
skill	ファイアボール	파이어볼
skill	いただきます	잘 먹겠습니다
skill	鼻息	콧김
skill	ボディープレス	보디 프레스
skill	天地崩壊	천지붕괴
skill	ヒット･ジ･エンド	히트 디 엔드
skill	三段斬り	3단 베기
skill	エクスカリパー	엑스칼리퍼
skill	王者の剣	왕자의 검
skill	究極幻想	궁극 환상
skill	波動砲	파동포
skill	アルテマ	알테마
skill	メタモルフォース	메타모르포스
skill	アトミックレイ	아토믹 레이
skill	チョコボックル	초코보쿠르
skill	夢想花	몽상화
skill	種まき	씨뿌리기
skill	ヘッドバット	헤드버트
skill	光の楽園	빛의 낙원
skill	かすみ草	안개꽃
skill	ロケットパンチ	로켓 펀치
skill	シャドウフレア	섀도 플레어
skill	破壊のつるぎ	파괴의 검
skill	心ない天使	무정한 천사
skill	ヒップアタック	힙 어택
skill	仮：波動砲２	임시:파동포2
skill	仮	임시
skill	仮：メガメタモル	임시:메가메타몰
skill	仮：アトミックブレスト	임시:아토믹B
skill	仮：チョコボロット	임시:초코보 로트
skill	仮技１	임시 기술1
skill	仮技２	임시 기술2
skill	仮技３	임시 기술3
skill	仮技４	임시 기술4
skill	仮技５	임시 기술5
desc	イフリートは\nようすをみている。	이프리트는\n상황을 살피고 있다.
desc	ボムは\nようすをみている。	봄은\n상황을 살피고 있다.
desc	ラミアは\nようすをみている。	라미아는\n상황을 살피고 있다.
desc	フェニックスは\nようすをみている。	피닉스는\n상황을 살피고 있다.
desc	アダマンタイマイは\nようすをみている。	아다만타이마이는\n상황을 살피고 있다.
desc	サボテンダーは\nようすをみている。	사보텐더는\n상황을 살피고 있다.
desc	ユニコーンは\nようすをみている。	유니콘은\n상황을 살피고 있다.
desc	シヴァは\nようすをみている。	시바는\n상황을 살피고 있다.
desc	リヴァイアサンの\n湧き水	리바이어선의\n용천수
desc	リヴァイアサンの\n湧き水・改	리바이어선의\n용천수·개
desc	ミストドラゴンは\nようすをみている。	미스트 드래곤은\n상황을 살피고 있다.
desc	ビスマルクは\nようすをみている。	비스마르크는\n상황을 살피고 있다.
desc	カーバンクルは\nようすをみている。	카벙클은\n상황을 살피고 있다.
desc	ラムウは\nようすをみている。	라무는\n상황을 살피고 있다.
desc	ケット・シーは\nようすをみている。	케트 시는\n상황을 살피고 있다.
desc	鉄巨人は\nようすをみている。	철거인은\n상황을 살피고 있다.
desc	オーディーンの\nグングニルの槍	오딘의\n궁니르의 창
desc	オーディーンは\nようすをみている。	오딘은\n상황을 살피고 있다.
desc	斬鉄剣・改	참철검·개
desc	オーディーンの\nグングニルの槍・改	오딘의\n궁니르의 창·개
desc	バハムートは\nようすをみている。	바하무트는\n상황을 살피고 있다.
desc	トンベリは\nようすをみている。	톤베리는\n상황을 살피고 있다.
desc	ゴブリンは\nようすをみている。	고블린은\n상황을 살피고 있다.
desc	テュポーンの\n天地崩壊	티폰의\n천지붕괴
desc	ギルガメッシュの\nヒット･ジ･エンド	길가메시의\n히트 디 엔드
desc	ギルガメッシュの\n三段斬り	길가메시의\n3단 베기
desc	ギルガメッシュの\nエクスカリパー	길가메시의\n엑스칼리퍼
desc	ギルガメッシュの\n王者の剣	길가메시의\n왕자의 검
desc	ギルガメッシュの\n究極幻想	길가메시의\n궁극 환상
desc	マンドラレッドの\n夢想花	만드라 레드의\n몽상화
desc	マンドラゴラの\n種まき	만드라고라의\n씨뿌리기
desc	マンドラプリンスの\nヘッドバット	만드라 프린스의\n헤드버트
desc	マンドラキングの\n光の楽園	만드라 킹의\n빛의 낙원
desc	マンドラダークの\nかすみ草	만드라 다크의\n안개꽃
desc	リヴァイアサンは\nようすをみている。	리바이어선은\n상황을 살피고 있다.
desc	テュポーンは\nようすをみている。	티폰은\n상황을 살피고 있다.
desc	仮：メタモル上位版	임시:메타몰 상위판
desc	仮：熱い原始のブレス	임시:원시 브레스
desc	仮：お茶目	임시:장난꾸러기
desc	ギルガメッシュは\nようすをみている。	길가메시는\n상황을 살피고 있다.
desc	仮決め手１	임시 결정타1
desc	仮決め手２	임시 결정타2
desc	仮決め手３	임시 결정타3
desc	仮決め手４	임시 결정타4
desc	仮決め手５	임시 결정타5
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C05}■{C1C}{C01}なら{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。	┏┓{C1C}{C04}<컬러 부스트>{C1C}{C01}\n┗┛상대 카드가\n　　{C1C}{C05}■{C1C}{C01}라면 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を{C1C}{C04}３個{C1C}{C01}\n　こわす。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C02}을 {C1C}{C04}３개{C1C}{C01}\n　부순다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C02}\n　　相手ＣＰの{C1B}{C02}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C02}\n　　상대ＣＰ의 {C1B}{C02} 수\n　　×{C1C}{C04}３pt{C1C}{C01}의 대미지를\n　　준다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C04}{C1B}{C04}\n　　相手に{C1C}{C04}７pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C04}{C1B}{C04}\n　　상대에게 {C1C}{C04}７pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<화상>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C04}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ピンチブースト>{C1C}{C01}\n　自分ののこり体力が\n　{C1C}{C04}５pt以下{C1C}{C01}ならば\n　こうげき力が{C1C}{C04}倍{C1C}{C01}になる。\n	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<핀치 부스트>{C1C}{C01}\n　자신의 남은 체력이\n　{C1C}{C04}５pt 이하{C1C}{C01}라면\n　공격력이 {C1C}{C04}2배{C1C}{C01}가 된다.\n
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}２pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<화상>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C04}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┏┓{C1C}{C04}<やけど>{C1C}{C01}\n┗┛次のターン相手は\n　　{C1C}{C04}●{C1C}{C01}のダメージが\n　　{C1C}{C04}倍{C1C}{C01}になる。	┏┓{C1C}{C04}<화상>{C1C}{C01}\n┗┛다음 턴 상대는\n　　{C1C}{C04}●{C1C}{C01}의 대미지가\n　　{C1C}{C04}2배{C1C}{C01}가 된다.
abil	┏┓{C1C}{C04}<リスクアタック>{C1C}{C01}\n┗┛相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。\n　　ただし、自分ＣＰの\n　　{C1B}{C01}の数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをうける。	┏┓{C1C}{C04}<리스크 어택>{C1C}{C01}\n┗┛상대ＣＰ의 {C1B}{C01} 수\n　　×{C1C}{C04}２pt{C1C}{C01}의 대미지를\n　　준다.\n　　단,자신ＣＰ의\n　　{C1B}{C01} 수×{C1C}{C04}１pt{C1C}{C01}의\n　　대미지를 받는다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　相手に{C1C}{C04}６pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}すべて{C1C}{C01}\n　こわす。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　상대에게 {C1C}{C04}６pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C01}을 {C1C}{C04}전부{C1C}{C01}\n　부순다.
abil	┏┓{C1C}{C04}<リスクアタック>{C1C}{C01}\n┗┛相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。\n　　ただし、自分ＣＰの\n　　{C1B}{C01}の数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをうける。	┏┓{C1C}{C04}<리스크 어택>{C1C}{C01}\n┗┛상대ＣＰ의 {C1B}{C01} 수\n　　×{C1C}{C04}３pt{C1C}{C01}의 대미지를\n　　준다.\n　　단,자신ＣＰ의\n　　{C1B}{C01} 수×{C1C}{C04}１pt{C1C}{C01}의\n　　대미지를 받는다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　相手に{C1C}{C04}８pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}{C1B}{C02}{C1B}{C03}{C1B}{C04}を\n　{C1C}{C04}すべて{C1C}{C01}こわす。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　상대에게 {C1C}{C04}８pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ{C1B}{C01}{C1B}{C02}{C1B}{C03}{C1B}{C04}을\n　{C1C}{C04}전부{C1C}{C01} 부순다.
abil	┏┓相手に{C1C}{C04}１pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}２個{C1C}{C01}\n　こわす。	┏┓상대에게 {C1C}{C04}１pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대 카드와 {C1C}{C04}같은 색{C1C}{C01}의\n　크리스탈을 {C1C}{C04}２개{C1C}{C01}\n　부순다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<침묵>{C1C}{C01}\n　다음 턴 종료까지\n　상대는 크리스탈어빌을\n　{C1C}{C04}쓸 수 없게 된다{C1C}{C01}.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分の体力を{C1C}{C04}４pt{C1C}{C01}\n　かいふくする。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　상대에게 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<회복>{C1C}{C01}\n　자신의 체력을 {C1C}{C04}４pt{C1C}{C01}\n　회복한다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<ＣＰ드레인>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C01}을 {C1C}{C04}３개{C1C}{C01}\n　빼앗아\n　자신ＣＰ에 충전한다.
abil	┏┓相手に{C1C}{C04}３pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}５個{C1C}{C01}\n　こわす。	┏┓상대에게 {C1C}{C04}３pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대 카드와 {C1C}{C04}같은 색{C1C}{C01}의\n　크리스탈을 {C1C}{C04}５개{C1C}{C01}\n　부순다.
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　相手に{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┌┐{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　상대에게 {C1C}{C04}４pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<화상>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C04}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。	┌┐{C1C}{C04}<마크 부스트>{C1C}{C01}\n└┘상대 카드의\n　　{C1C}{C04}가드 아이콘 수{C1C}{C01}\n　　×{C1C}{C04}２pt{C1C}{C01}의 대미지를\n　　준다.
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<プロテス>{C1C}{C01}\n　次のターン終了まで\n　自分のうけるダメージが\n　{C1C}{C04}１／２{C1C}{C01}になる。	┏┓상대에게 {C1C}{C04}２pt{C1C}{C01}의\n┗┛대미지를 준다.\n\n　{C1C}{C04}<프로테스>{C1C}{C01}\n　다음 턴 종료까지\n　자신이 받는 대미지가\n　{C1C}{C04}１／２{C1C}{C01}이 된다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C01}の数\n　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　かいふくする。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<회복>{C1C}{C01}\n　자신ＣＰ의 {C1B}{C01} 수\n　×{C1C}{C04}２pt{C1C}{C01}의 체력을\n　회복한다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルをＣＰに\n　{C1C}{C04}３個{C1C}{C01}チャージする。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　상대 카드와 {C1C}{C04}같은 색{C1C}{C01}의\n　크리스탈을 ＣＰ에\n　{C1C}{C04}３개{C1C}{C01} 충전한다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C01}にする。\n	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<ＣＰ부스트>{C1C}{C01}\n　자신ＣＰ의 크리스탈을\n　{C1C}{C04}전부{C1C}{C01} {C1B}{C01}로 바꾼다.\n
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C01}の数\n　×{C1C}{C04}３pt{C1C}{C01}の体力を\n　かいふくする。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<회복>{C1C}{C01}\n　자신ＣＰ의 {C1B}{C01} 수\n　×{C1C}{C04}３pt{C1C}{C01}의 체력을\n　회복한다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　상대에게 {C1C}{C04}３pt{C1C}{C01}의\n　　대미지를 준다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<スロウ>{C1C}{C01}\n　次のターン相手は必ず\n　{C1C}{C04}後攻{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<슬로>{C1C}{C01}\n　다음 턴 상대는 반드시\n　{C1C}{C04}후공{C1C}{C01}이 된다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<プロテス>{C1C}{C01}\n　次のターン終了まで\n　自分のうけるダメージが\n　{C1C}{C04}１／２{C1C}{C01}になる。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<프로테스>{C1C}{C01}\n　다음 턴 종료까지\n　자신이 받는 대미지가\n　{C1C}{C04}１／２{C1C}{C01}이 된다.
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C03}■{C1C}{C01}なら{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。	┏┓{C1C}{C04}<컬러 부스트>{C1C}{C01}\n┗┛상대 카드가\n　　{C1C}{C03}■{C1C}{C01}라면 {C1C}{C04}４pt{C1C}{C01}의\n　　대미지를 준다.
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　相手に{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。	┏┓{C1C}{C04}<크리스탈어빌>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　상대에게 {C1C}{C04}２pt{C1C}{C01}의\n　　대미지를 준다.\n　{C1C}{C04}<독>{C1C}{C01}\n　다음 턴 상대는 {C1C}{C05}●{C1C}{C01}의\n　대미지가 {C1C}{C04}2배{C1C}{C01}가 된다.
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ヘイスト>{C1C}{C01}\n　次のターン自分は必ず\n　{C1C}{C04}先攻{C1C}{C01}になる。	┌┐상대에게 {C1C}{C04}３pt{C1C}{C01}의\n└┘대미지를 준다.\n\n　{C1C}{C04}<헤이스트>{C1C}{C01}\n　다음 턴 자신은 반드시\n　{C1C}{C04}선공{C1C}{C01}이 된다.
abil	┏┓相手に{C1C}{C04}３pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n \n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}２個{C1C}{C01}\n　こわす。	┏┓상대에게 {C1C}{C04}３pt{C1C}{C01}의\n┗┛대미지를 준다.\n \n　{C1C}{C04}<ＣＰ크래시>{C1C}{C01}\n　상대ＣＰ의 {C1B}{C03}을 {C1C}{C04}２개{C1C}{C01}\n　부순다.
