pool	jp
skill	ヘッドバット
skill	光の楽園
skill	かすみ草
skill	ロケットパンチ
skill	シャドウフレア
skill	破壊のつるぎ
skill	心ない天使
skill	ヒップアタック
skill	仮：波動砲２
skill	仮
skill	仮：メガメタモル
skill	仮：アトミックブレスト
skill	仮：チョコボロット
skill	仮技１
skill	仮技２
skill	仮技３
skill	仮技４
skill	仮技５
desc	イフリートは\nようすをみている。
desc	ボムは\nようすをみている。
desc	ラミアは\nようすをみている。
desc	フェニックスは\nようすをみている。
desc	アダマンタイマイは\nようすをみている。
desc	サボテンダーは\nようすをみている。
desc	ユニコーンは\nようすをみている。
desc	シヴァは\nようすをみている。
desc	リヴァイアサンの\n湧き水
desc	リヴァイアサンの\n湧き水・改
desc	ミストドラゴンは\nようすをみている。
desc	ビスマルクは\nようすをみている。
desc	カーバンクルは\nようすをみている。
desc	ラムウは\nようすをみている。
desc	ケット・シーは\nようすをみている。
desc	鉄巨人は\nようすをみている。
desc	オーディーンの\nグングニルの槍
desc	オーディーンは\nようすをみている。
desc	斬鉄剣・改
desc	オーディーンの\nグングニルの槍・改
desc	バハムートは\nようすをみている。
desc	トンベリは\nようすをみている。
desc	ゴブリンは\nようすをみている。
desc	テュポーンの\n天地崩壊
desc	ギルガメッシュの\nヒット･ジ･エンド
desc	ギルガメッシュの\n三段斬り
desc	ギルガメッシュの\nエクスカリパー
desc	ギルガメッシュの\n王者の剣
desc	ギルガメッシュの\n究極幻想
desc	マンドラレッドの\n夢想花
desc	マンドラゴラの\n種まき
desc	マンドラプリンスの\nヘッドバット
desc	マンドラキングの\n光の楽園
desc	マンドラダークの\nかすみ草
desc	リヴァイアサンは\nようすをみている。
desc	テュポーンは\nようすをみている。
desc	仮：メタモル上位版
desc	仮：熱い原始のブレス
desc	仮：お茶目
desc	ギルガメッシュは\nようすをみている。
desc	仮決め手１
desc	仮決め手２
desc	仮決め手３
desc	仮決め手４
desc	仮決め手５
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C05}■{C1C}{C01}なら{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を{C1C}{C04}３個{C1C}{C01}\n　こわす。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C02}\n　　相手ＣＰの{C1B}{C02}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C04}{C1B}{C04}\n　　相手に{C1C}{C04}７pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ピンチブースト>{C1C}{C01}\n　自分ののこり体力が\n　{C1C}{C04}５pt以下{C1C}{C01}ならば\n　こうげき力が{C1C}{C04}倍{C1C}{C01}になる。\n
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┏┓{C1C}{C04}<やけど>{C1C}{C01}\n┗┛次のターン相手は\n　　{C1C}{C04}●{C1C}{C01}のダメージが\n　　{C1C}{C04}倍{C1C}{C01}になる。
abil	┏┓{C1C}{C04}<リスクアタック>{C1C}{C01}\n┗┛相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。\n　　ただし、自分ＣＰの\n　　{C1B}{C01}の数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをうける。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　相手に{C1C}{C04}６pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}すべて{C1C}{C01}\n　こわす。
abil	┏┓{C1C}{C04}<リスクアタック>{C1C}{C01}\n┗┛相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。\n　　ただし、自分ＣＰの\n　　{C1B}{C01}の数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをうける。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}{C1B}{C01}\n　　相手に{C1C}{C04}８pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}{C1B}{C02}{C1B}{C03}{C1B}{C04}を\n　{C1C}{C04}すべて{C1C}{C01}こわす。
abil	┏┓相手に{C1C}{C04}１pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}２個{C1C}{C01}\n　こわす。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分の体力を{C1C}{C04}４pt{C1C}{C01}\n　かいふくする。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。
abil	┏┓相手に{C1C}{C04}３pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}５個{C1C}{C01}\n　こわす。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C01}{C1B}{C03}\n　　相手に{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<やけど>{C1C}{C01}\n　次のターン相手は{C1C}{C04}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<プロテス>{C1C}{C01}\n　次のターン終了まで\n　自分のうけるダメージが\n　{C1C}{C04}１／２{C1C}{C01}になる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C01}の数\n　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　かいふくする。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルをＣＰに\n　{C1C}{C04}３個{C1C}{C01}チャージする。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C01}にする。\n
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C01}の数\n　×{C1C}{C04}３pt{C1C}{C01}の体力を\n　かいふくする。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<スロウ>{C1C}{C01}\n　次のターン相手は必ず\n　{C1C}{C04}後攻{C1C}{C01}になる。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<プロテス>{C1C}{C01}\n　次のターン終了まで\n　自分のうけるダメージが\n　{C1C}{C04}１／２{C1C}{C01}になる。
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C03}■{C1C}{C01}なら{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C04}\n　　相手に{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ヘイスト>{C1C}{C01}\n　次のターン自分は必ず\n　{C1C}{C04}先攻{C1C}{C01}になる。
abil	┏┓相手に{C1C}{C04}３pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n \n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}２個{C1C}{C01}\n　こわす。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}５pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　相手ＣＰの{C1B}{C04}の数\n　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　かいふくする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}６pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<どく>{C1C}{C01}\n　次のターン相手は{C1C}{C05}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<リフレッシュ>{C1C}{C01}\n　　自分のステータスを\n　　{C1C}{C04}リフレッシュ{C1C}{C01}する。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C02}にする。
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}アンマークの数{C1C}{C01}×{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┏┓{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┗┛ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C02}にする。
abil	┌┐{C1C}{C04}<マークブースト>{C1C}{C01}\n└┘相手カードの\n　　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　　×{C1C}{C04}４pt{C1C}{C01}のダメージを\n　　あたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<カラーブースト>{C1C}{C01}\n　相手カードが{C1C}{C05}■{C1C}{C01}なら\n　こうげき力が{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を{C1C}{C04}２個{C1C}{C01}\n　こわす。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}\n　　相手に{C1C}{C04}５pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C04}\n\n　　自分ＣＰの{C1B}{C02}{C1B}{C04}の\n　　合計数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}{C1B}{C02}\n\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}アンマークの数{C1C}{C01}×{C1C}{C04}４pt{C1C}{C01}\n　のダメージをあたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C02}\n　　相手に{C1C}{C04}７pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<こおり>{C1C}{C01}\n　次のターン相手は{C1C}{C06}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}３個{C1C}{C01}\n　こわす。
abil	┏┓{C1C}{C04}<カラーブースト>{C1C}{C01}\n┗┛相手カードが\n　　{C1C}{C04}■{C1C}{C01}なら{C1C}{C04}４pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}８pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C04}\n　　相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　　あたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C01}を{C1C}{C04}すべて{C1C}{C01}\n　こわす。
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手カードと{C1C}{C04}同じ色{C1C}{C01}の\n　クリスタルを{C1C}{C04}２個{C1C}{C01}\n　こわす。
abil	├┬{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　自分ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C03}にする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}\n　　相手ＣＰの{C1B}{C02}{C1B}{C03}の\n　　合計数×{C1C}{C04}１pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	├┬{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n┴┤ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n\n　{C1C}{C04}<ＣＰブースト>{C1C}{C01}\n　相手ＣＰのクリスタルを\n　{C1C}{C04}すべて{C1C}{C01}{C1B}{C03}にする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C03}\n　　相手ＣＰの{C1B}{C02}{C1B}{C03}の\n　　合計数×{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。
abil	┌┐相手に{C1C}{C04}２pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。
abil	┏┓{C1C}{C04}<かいふく>{C1C}{C01}\n┗┛自分ＣＰの{C1B}{C03}の数\n　　×{C1C}{C04}２pt{C1C}{C01}の体力を\n　　かいふくする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}３pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<リフレッシュ>{C1C}{C01}\n　自分のステータスを\n　{C1C}{C04}リフレッシュ{C1C}{C01}する。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<こおり>{C1C}{C01}\n　次のターン相手は{C1C}{C06}●{C1C}{C01}の\n　ダメージが{C1C}{C04}倍{C1C}{C01}になる。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}２個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}{C1B}{C03}\n　　相手に{C1C}{C04}２pt{C1C}{C01}の\n　　ダメージをあたえる。\n　{C1C}{C04}<かいふく>{C1C}{C01}\n　自分ＣＰの{C1B}{C03}の数×{C1C}{C04}５pt\n　{C1C}{C01}の体力をかいふくする。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの{C1B}{C02}を\n　{C1C}{C04}２個{C1C}{C01}こわす。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰドレイン>{C1C}{C01}\n　相手ＣＰの{C1B}{C03}を{C1C}{C04}３個{C1C}{C01}\n　うばいとり\n　自分ＣＰにチャージする。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　×{C1C}{C04}３pt{C1C}{C01}のダメージを\n　あたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C03}{C1B}{C03}\n　　相手ＣＰの{C1B}{C01}の数\n　　×{C1C}{C04}２pt{C1C}{C01}のダメージを\n　　あたえる。
abil	┌┐{C1C}{C04}<ｸﾘｽﾀﾙｱﾋﾞﾘﾃｨ>{C1C}{C01}\n└┘ＣＰ：{C1B}{C02}{C1B}{C03}{C1B}{C04}\n　{C1C}{C04}<マークブースト>{C1C}{C01}\n　相手カードの\n　{C1C}{C04}ガードアイコンの数{C1C}{C01}\n　×{C1C}{C04}５pt{C1C}{C01}のダメージを\n　あたえる。
abil	┌┐相手に{C1C}{C04}３pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ＣＰクラッシュ>{C1C}{C01}\n　相手ＣＰの中で\n　{C1C}{C04}一番多いクリスタル{C1C}{C01}を\n　{C1C}{C04}すべて{C1C}{C01}こわす。
abil	┏┓相手に{C1C}{C04}２pt{C1C}{C01}の\n┗┛ダメージをあたえる。\n\n　{C1C}{C04}<ちんもく>{C1C}{C01}\n　次のターン終了まで\n　相手はｸﾘｽﾀﾙｱﾋﾞﾘﾃｨが\n　{C1C}{C04}つかえなくなる{C1C}{C01}。
abil	┌┐相手に{C1C}{C04}４pt{C1C}{C01}の\n└┘ダメージをあたえる。\n\n　{C1C}{C04}<ヘイスト>{C1C}{C01}\n　次のターン自分は必ず\n　{C1C}{C04}先攻{C1C}{C01}になる。
