# 카드 게임 글 원문(tools/pudtext.py) — 경로	형식	번호	원문
romdata/PUD/wifi/ja/wifitext.bin	table	16	あなたのフレンドコードです
romdata/PUD/wifi/ja/wifitext.bin	table	17	フレンドコードがまちがっています
romdata/PUD/wifi/ja/wifitext.bin	table	18	ｶｰﾄﾞが１５枚組み込まれたﾃﾞｯｷがないので\nポップアップデュエルでは遊べません
romdata/PUD/wifi/ja/wifitext.bin	table	19	データを書き込めませんでした\n電源を切って\nカードを差し込み直してください
romdata/PUD/wifi/ja/wifitext.bin	table	20	通信タイムアウトエラーです
romdata/PUD/wifi/ja/wifitext.bin	table	21	はい
romdata/PUD/wifi/ja/wifitext.bin	table	22	いいえ
romdata/PUD/wifi/ja/wifitext.bin	table	23	DS本体のWi-Fiユーザー情報が\n消えた可能性があります\nWi-Fiコネクション設定で\n接続先の設定をご確認ください
romdata/PUD/wifi/ja/wifitext.bin	table	24	Wi-Fiコネクションに接続しますか？
romdata/PUD/wifi/ja/wifitext.bin	table	25	Wi-Fiコネクションでは、DSカードと\nDS本体をセットで扱います\nDSカードにDS本体のWi-Fiユーザー\n情報を保存して　Wi-Fiコネクションに\n接続しますか？
romdata/PUD/wifi/ja/wifitext.bin	table	26	このDS本体のWi-Fiユーザー情報を\nDSカードに保存しました\n今後のWi-Fiコネクションへの接続は\nこのDS本体をお使いください
romdata/PUD/wifi/ja/wifitext.bin	table	27	DS本体とDSカードの\nWi-Fiユーザー情報がちがうため\nWi-Fiコネクションに接続できません
romdata/PUD/wifi/ja/wifitext.bin	table	28	DSカードに保存されている\nWi-Fiユーザー情報を更新しますか？\nWi-Fiユーザー情報を更新すると\nWi-Fiコネクションでこれまで\nお使いになっていたデータは\n失われてしまいます
romdata/PUD/wifi/ja/wifitext.bin	table	29	友達のフレンドリストへ新しいフレンドコードを\n登録してもらって Wi-Fi コネクションに接続\nする必要があります\n\n本当に更新してもよろしいですか？
romdata/PUD/wifi/ja/wifitext.bin	table	30	Wi-Fiコネクションに接続しています\nしばらくお待ちください
romdata/PUD/wifi/ja/wifitext.bin	table	31	お使いのプレイヤー名では\nWi-Fiコネクションを利用できません\nプレイヤー名を変更して接続しなおしてください
romdata/PUD/wifi/ja/wifitext.bin	table	32	Wi-Fiコネクションから切断しても\nよろしいですか？
romdata/PUD/wifi/ja/wifitext.bin	table	33	Wi-Fiコネクションから\n切断しています
romdata/PUD/wifi/ja/wifitext.bin	table	34	Wi-Fiコネクションから\n切断しました
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	0	ポップアップヒーローＸ\n「これからポップアップデュエルの\n極意を教えてやるクポ！{03}{SFF}{01}ポップアップデュエルとは\n召喚獣の力がふうじ込まれたカードを使って\n敵と戦う方法クポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	1	デュエルに必要なのは　もちろんカード！\nそして　そのカードを組み合わせたものが\n『デッキ』と呼ばれているクポ{03}{SFF}{01}デュエルは　その『デッキ』からランダムに\n３枚のカードを引いて　始めるクポ\nこの３枚を『手札』と呼ぶクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	2	デュエルが始まったら『手札』の中から\n好きなカードを１枚選んで　タッチペンで{03}{SFF}{01}カードをタッチしたまま　はじき飛ばすように\n上に『ひょい』っと　スライドさせるクポ{03}{SFF}{01}これが『ポップアップ！』クポ　\nカードの中から召喚獣が現れて\n相手と戦ってくれるクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	3	基本はコレを繰り返して　相手の『体力』を\n０（ゼロ）にすれば勝ちクポ\nとっても簡単だクポ」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	4	ポップアップヒーローＸ\n「まずは　いちばん大事なポップアップデュエル\nカードの見かたについて説明するクポ{03}{SFF}{01}上画面に注目するクポ！{03}{SFF}{01}①魔法陣\nカードには上下左右４色の魔法陣があるクポ\nこれがデュエルの鍵を握るクポ{03}{SFF}{01}この魔法陣の中に『剣』と\n『盾』と『槍』のマークがあることに\n気づいてるクポか？{03}{SFF}{01}このマークの場所を　相手のカードと\n見比べることによって　攻撃の成功や\n失敗が決まるクポ{03}{SFF}{01}これを『マッチング』と呼ぶクポ　\n『マッチング』については　もう少し後で\n詳しく説明するクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	5	②アビリティマーク\nすべてのカードは大きく分けて　アタック・\nガード・ガードブレイクタイプがあるクポ{03}{SFF}{01}アタックタイプのカードには\n『剣』のアビリティマークがあるクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	6	ガードタイプのカードには\n『盾』のアビリティマークがあるクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	7	ガードブレイクタイプのカードには\n『槍』のアビリティマークがあるクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	8	③アビリティの効果\n発動する効果『アビリティ』の説明が\nここに書かれているクポ{03}{SFF}{01}アビリティには　たくさんの種類があるから\n１枚ずつカードを集めて　ゆっくり\n試しながら　覚えるといいクポ」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	9	ポップアップヒーローＸ\n「デュエルが始まったら　まずは\n『ポップアップフェイズ』クポ{03}{SFF}{01}手札から１枚　カードを選んで\nポップアップするクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	10	ここで大事なのが先に攻撃できる『先攻』と\n後に攻撃する『後攻』クポ{03}{SFF}{01}これはなんと！　ポップアップフェイズが\n始まったら　早いもの勝ちで決まるクポ\n先にカードを出したプレイヤーが『先攻』クポ{03}{SFF}{01}プレイヤー全員がカードをポップアップすると\n『先攻』プレイヤーの攻撃の順番…\nつまり『ターン』が　始まるクポ{03}{SFF}{01}このターンが終わったら　次は『後攻』の\nプレイヤーのターンが始まるクポ{03}{SFF}{01}戦いは　基本的に『先攻』の方が有利クポ　\nでもだからって　慌てて変なカードを出すと\n逆に不利になるクポ」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	11	ポップアップヒーローＸ\n「いよいよ『マッチング』の説明だクポ{03}{SFF}{01}ここが最大のポイントになるクポ！\nちゃんと　ついてきてるクポ？{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	12	まず　アタックタイプのカードについて\n説明するクポ{03}{SFF}{01}『剣（アタック）』がある魔法陣と\n相手カードの同じ位置の魔法陣を見るクポ！{03}{SFF}{01}①相手の魔法陣が空白（アンマーク）の場合\nアタック成功クポ！\n相手に攻撃がヒットするクポ{03}{SFF}{01}②相手の魔法陣が槍（ガードブレイク）の場合\nアタック成功クポ！\n相手に攻撃がヒットするクポ{03}{SFF}{01}③相手の魔法陣も剣（アタック）の場合\n一応アタック成功クポ　でも与えるダメージが\n半分になってしまうクポ{03}{SFF}{01}④相手の魔法陣が盾（ガード）の場合\nアタック失敗クポ\n攻撃はガードされてしまうクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	13	次にガードブレイクタイプのカードについて\n説明するクポ{03}{SFF}{01}『槍（ガードブレイク）』がある魔法陣と\n相手カードの同じ位置の魔法陣を見るクポ！{03}{SFF}{01}①相手の魔法陣が盾（ガード）の場合\nガードブレイク成功クポ！\n相手に攻撃がヒットするクポ{03}{SFF}{01}②相手の魔法陣が槍（ガードブレイク）の場合\nガードブレイク失敗クポ\nアビリティは発動しないクポ{03}{SFF}{01}③相手の魔法陣が剣（アタック）の場合\nガードブレイク失敗クポ\nアビリティは発動しないクポ{03}{SFF}{01}④相手の魔法陣が空白（アンマーク）の場合\nガードブレイク失敗クポ\nアビリティは発動しないクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	14	最後にガードタイプのカードについて\n説明するクポ{03}{SFF}{01}ガードタイプのカードには\n魔法陣に相手を攻撃する『剣（アタック）』や\n『槍（ガードブレイク）』のマークがないクポ{03}{SFF}{01}だから　ガードタイプのカードでは\nマッチングは発生しないクポ\nこのターンは様子見で終わるクポ{03}{SFF}{01}…以上がマッチングのルールクポ\n理解できたクポ？{03}{SFF}{01}マッチングをしっかり覚えることが\nデュエルに勝つための第一歩クポ！」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	15	ポップアップヒーローＸ\n「『マッチング』でアタックに成功したら\nいよいよ召喚獣の攻撃が始まるクポ{03}{SFF}{01}カードに書かれたアビリティに注目クポ{03}{SFF}{01}このアビリティが高いほど　相手に大きな\nダメージを与えられるクポ　いいカードは\nデッキに入れて　ガンガン使うといいクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	16	アタックの次はガードについての説明クポ\n相手の攻撃ターンでガードに成功したら\n自分の体力は　全く減らないクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	17	しかも！　もし自分の出したカードに\nガードアビリティがある場合は　カウンターで\n相手に　反撃ができるクポ！{03}{SFF}{01}ちなみにアビリティは　攻撃や防御\nだけじゃないクポ　体力回復や\n相手を邪魔する効果などさまざまクポ{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	18	ここでひとつ教えておくことがあるクポ{03}{SFF}{01}アビリティの効果のなかには\nステータスに異常が起こる\n『ステータスダメージ』というものがあるクポ{03}{SFF}{01}『ステータスダメージ』を受けると\n体力ゲージのところにアイコンが現れるクポ{03}{SFF}{01}『やけど』『どく』『こおり』『しびれ』…\nこれらは　次のターン終了まで続くクポ\n気をつけなければ大変なことになるクポ！{03}{SFF}{01}しっかり体力を計算して\nあぶないと思ったら\nガードすることを考えるのも大切クポ！」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	19	ポップアップヒーローＸ\n「お互いの攻撃ターンが終わったら\n『エンドフェイズ』になるクポ{03}{SFF}{01}つまり　またポップアップフェイズに\n戻るってことクポ{03}{SFF}{01}このエンドフェイズでは　さっき出したカードが\n同じ色のクリスタルに変化するクポ\nこれを『クリスタルチャージ』と呼ぶクポ！{03}{SFF}{01}クリスタルがチャージされると\n普段では使えない　すごいカードの\n能力を　使えるようになるクポ！{03}{SFF}{01}ただし！　グレーのカードは無属性の\n召喚獣クポ　他のカードより少し強いけど\nクリスタルにはならないクポ」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	20	ポップアップヒーローＸ\n「次は『クリスタルポイント』についての\n説明をするクポ　{03}{SFF}{01}赤・緑・青・黄の属性のついたカードを\n使えば　『エンドフェイズ』のたびに\nクリスタルを１個ずつチャージできるクポ{03}{SFF}{01}こうしてたまったクリスタルの数を\n『CP（クリスタルポイント）』と呼ぶクポ！{03}{SFF}{01}この『CP』が必殺技『クリスタルアビリティ』を\n発動するための　大事な力になるクポ\nたくさんためるほど　有利になるクポ{03}{SFF}{01}ただし！　『CP』は最大で１０個までしか\nためることができないクポ　それを越えると\n古いクリスタルから　なくなってゆくクポ{03}{SFF}{01}その他にも相手のチャージしたクリスタルを\n壊すアビリティや　色を変えるアビリティなど\nいろんなカードがあるクポ！」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	21	ポップアップヒーローＸ\n「ついに来たクポ！　必殺技クポ！\n『クリスタルアビリティ』クポ！！{03}{SFF}{01}カードによってはアビリティの説明に\n『CP』という文字と『クリスタルアイコン』が\nいくつか書かれているものがあるクポ{03}{SFF}{01}これがそのアビリティを発動するために\n必要な『CP』を表しているクポ{03}{SFF}{01}必要な『CP』数がチャージされていれば\n『クリスタルアビリティ』が発動されるクポ！\n足りていない場合は　失敗するクポ{03}{SFF}{01}『クリスタルアビリティ』が発動できるカードは\n光っているから　一目でわかるはずクポ！{03}{SFF}{01}上手に『クリスタルアビリティ』を使いたい\n場合は　デッキを作るときから『CP』のことを\n計算に入れておく必要があるクポ！」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	22	ポップアップヒーローＸ\n「いよいよ新システムの説明クポ！\n２つの新しいルールが追加されたクポ{03}{SFF}{01}まずひとつめは『ポップダウン』クポ！\n『CP』を使って　いらないカードを\n捨てる事ができるクポ！{03}{SFF}{01}捨てた次のターンでは２枚カードをひけるクポ\nうまく使って戦略を広げるクポ！{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	23	２つめは『おみあいシステム』クポ！\nお互いガードタイプカードの時に発動するクポ{03}{SFF}{01}ガードカードでおみあいをくり返すと\nまわりの空気が「かねつ」するクポ{03}{SFF}{01}空気がかねつしたら次にヒットした\nダメージは倍になるクポ{03}{SFF}{01}ダメージがヒットするまでかねつ状態は\n継続するクポ\nかねつしてしまったら気がぬけないクポ！」{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	24	ポップアップヒーローＸ\n「さぁ　まとめクポ　\n最強のデュエリストを目指すなら！{03}{SFF}{01}これからモグが言う\n３つの鉄則を覚えるクポ　{03}{SFF}{01}まず１つ目　デュエルの行方は　マッチングに\n左右されるクポ　だから　相手の出すカードを\n『読む』ことがポイントになってくるクポ　{03}{SFF}{01}ポップアップフェイズで　相手の手札の\n色だけは　わかるから　そこから推理して\n攻撃を組み立てるといいクポ　{03}{SFF}{01}ただ　読みを鍛えるいちばんの近道は\nたくさんのデュエルを実践することクポ　\nモグなら　いつでも相手してやるクポ！{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	25	そして２つ目　いくら読み合いをしても\n出したいカードがなければ意味がないクポ\nそこで『デッキ』が大事になってくるクポ！{03}{SFF}{01}デッキを組むコツはイマジネーションクポ！\nどうやって　相手に勝つかをイメージして\n最強のデッキを生み出すクポ！！{03}{SFF}{02}
romdata/PUD/pubtutorial/ja/tutorialtext.bin	table	26	３つ目クポ　最強のデッキを組むには\n何よりも『カード』が必要クポ\nとにかく１枚でも多くカードを集めるクポ！{03}{SFF}{01}カードは　いろんな場所でゲットできる\nらしいクポ！うわさでは…\nおっとこれは秘密だったクポ{03}{SFF}{01}ところでキミは　運がいい方クポ？\n世の中には『ラッキー』なだけで\nデュエルに勝ち続ける奴もいるクポ{03}{SFF}{01}だがしかーーーーし！！！\nラッキーなんて　長続きしないクポ\n『読み』『デッキ』そして『カード』！{03}{SFF}{01}この３つがカンペキなら　どんなラッキーな\n相手にだって　必ず勝てるクポ！{03}{SFF}{01}ラッキーな相手をふうじ込めるのは\n確かな戦略クポーー！！\n…はぁはぁ　興奮し過ぎたクポ{03}{SFF}{01}これでチュートリアルはおしまいクポ！\n頑張って　モグみたいに立派な\nポップアップヒーローを目指すといいクポ！」{03}{SFF}{02}
